station_code,hist_solar_irradiation_station_mean,hist_solar_irradiation_station_median,hist_solar_irradiation_station_std,hist_solar_irradiation_station_count,hist_wind_speed_station_mean,hist_wind_speed_station_median,hist_wind_speed_station_std,hist_wind_speed_station_count
A301,5.862002960297191,6.054083333333334,1.4885109724919132,4307,1.6963414584194088,1.6708333333333334,0.553403522796991,4307
A307,4.133976120774594,4.528597222222222,2.3131550199004263,5864,3.634252858499733,3.6833333333333336,0.8473140191309491,5864
A309,5.469144186174305,5.629361111111112,1.3911146152637197,5055,3.363592596138548,3.3708333333333336,0.782720315297972,5055
A322,5.166106867811724,5.353083333333334,1.5609809042807967,4386,2.283180295210919,2.3916666666666666,1.3497878661781677,4386
A328,5.569947373617694,5.800833333333333,1.2188787493070568,4220,3.0956249865035637,3.3875,1.3707468711448911,4220
A329,5.8574843730213,6.059194444444445,1.4115826810968948,4387,3.092833869954929,3.220833333333333,1.4307533886759614,4387
A341,5.383072526338656,5.3809861111111115,1.4897197431029656,4092,3.1044838969382362,3.083333333333333,0.7581988060805971,4092
A349,5.887402271086679,6.0864722222222225,1.2994746964980817,4002,2.960938719054463,2.9291666666666667,0.7444223925567712,4002
A350,5.775950825919459,5.98675,1.3305981647355969,4009,2.5255324303977917,2.4208333333333334,0.7154834179500912,4009
A351,5.321096321478382,5.843888888888889,2.0917405778266316,3824,3.1224864465029185,3.1333333333333333,0.7322558331651,3824
A357,4.582714148647384,4.938694444444444,1.6681865991205302,3561,2.1313266739305816,2.125,0.4065767434094554,3561
A366,5.616640585950693,5.806041666666667,1.3272938634310179,3290,3.13560533430477,3.0520833333333335,0.8655411832753112,3290
A370,5.650723895582329,5.9295,1.4239385928713868,747,2.3804235136152765,2.345833333333333,0.9629989656528529,747
