day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
1,5.669703142536476,6.009138888888889,1.7684295909487704,198,2.6475499921884538,2.716666666666667,1.0632058504615562,198
2,5.86240764604811,6.325180555555555,1.6477758897854076,194,2.6294464165186375,2.682142857142857,1.0290297727970232,194
3,6.005653835307388,6.368416666666667,1.6022848909847485,197,2.5651833439910545,2.5375,1.0255359962585255,197
4,5.4916001683501685,5.798569444444444,1.6332292456998134,198,2.5803320278364357,2.55,1.1345911469911407,198
5,5.378440235690236,5.524666666666667,1.5313799082454638,198,2.675829173840668,2.666666666666667,1.1166221553817877,198
6,5.282237450648617,5.529166666666667,1.7120606319533596,197,2.6710140168136838,2.620833333333333,1.1128501990143833,197
7,5.052674663299663,5.485666666666667,1.8538793874850419,198,2.718721875724883,2.7625,1.0533283961914877,198
8,5.022667508417508,5.242444444444445,1.8067715820239083,198,2.953141621659286,3.00606884057971,1.1760203992060794,198
9,5.457881133671743,5.695361111111111,1.7206951789984726,197,2.966697477068187,2.894117647058824,1.067949905679665,197
10,5.779040249433106,6.079375000000001,1.5771494087549125,196,3.022728163584419,3.080797101449275,1.0962279904347771,196
11,5.870438240270727,6.316083333333334,1.7289316483188397,197,2.7850970565155366,2.8166666666666664,1.1394407595460907,197
12,5.895804988662132,6.060430555555556,1.529899717109741,196,2.772525472824511,2.7294642857142857,1.1072541932811877,196
13,5.67926272264631,5.711638888888889,1.488157347640821,131,3.0325499807195793,3.158333333333333,1.2023785715231479,131
14,5.760664316239316,6.014888888888889,1.6373018695297679,130,2.92936676394954,2.897916666666667,1.1472643612452396,130
15,5.962519871794871,6.185527777777779,1.555540067041888,130,2.8099948055010766,2.8520833333333333,1.0831521890212734,130
16,5.8868010683760685,6.282333333333334,1.8157202526771459,130,2.882891490044896,2.914583333333333,1.1207960888925683,130
17,5.88189233419466,6.183944444444444,1.656664146596452,129,2.8449086422591887,2.7458333333333336,1.1073928181497714,129
18,5.647181206597223,5.894180555555556,1.734516553778051,128,2.821872669342694,2.865,1.1253178096086063,128
19,5.678542317708334,5.944152777777778,1.8127500711930857,128,2.684386908265035,2.604166666666667,1.0125660657860973,128
20,5.518653980752406,5.809444444444445,1.803151883336705,127,2.523263934421299,2.525,0.9952474436033591,127
21,5.2964921875,5.720180555555556,1.769994402589053,128,2.511890307202778,2.427083333333333,0.9766865076710523,128
22,4.794599737532809,5.233472222222222,1.8005006443163654,127,2.4847532645375847,2.370833333333333,0.9559624940157233,127
23,5.509401475694444,5.818902777777778,1.7620359354467545,128,2.614184272070951,2.56875,0.9861600121597742,128
24,5.617443576388889,6.088749999999999,1.7106770999654732,128,2.6132380548373195,2.5954710144927535,0.9683003401610081,128
25,5.947270616319445,6.414277777777778,1.686406735926681,128,2.5983647889492514,2.5583333333333336,1.0441279365944685,128
26,5.993286675347222,6.320861111111111,1.5596017541619962,128,2.493744733810121,2.4250000000000003,1.0295545100533725,128
27,5.851411854768154,6.129833333333334,1.6339576868434647,127,2.8760697695400244,2.9166666666666665,1.0431927175743565,127
28,6.108096037898363,6.286694444444444,1.5041423673551513,129,2.925609242713109,3.0500000000000003,1.0171597418690714,129
29,5.827766149870801,6.048305555555556,1.5182862524553737,129,2.811864674078684,2.95,0.9498585804374409,129
30,5.888525409130061,6.077833333333333,1.4756717126804373,129,2.815730169724236,2.8625000000000003,1.018079118188639,129
31,6.105546726959517,6.438805555555556,1.5203907721593568,129,2.7773139595821137,2.6750000000000003,1.0666213414151364,129
32,5.7992345521541955,6.044263888888889,1.5803560203367129,196,2.6730349440257846,2.634659090909091,1.0750273481925563,196
33,5.835475765306122,6.111777777777778,1.5310615901256344,196,2.689106786453089,2.635416666666667,1.0558864477045977,196
34,5.632113367174281,5.87675,1.5424271843873167,197,2.581769683839767,2.4375,1.08585798514464,197
35,5.6301907596371885,5.975513888888889,1.6254476207033461,196,2.469691053858237,2.39375,1.116899224628105,196
36,5.753161335578002,6.0217777777777775,1.7383519284018383,198,2.563697860052892,2.55625,1.1133928070250714,198
37,5.325122334455668,5.537680555555555,1.6448077801253278,198,2.5917378644987785,2.55,0.9914915046526822,198
38,5.332659090909091,5.75723611111111,1.8954822831561586,198,2.6414054073274897,2.635416666666667,1.0025300729453048,198
39,5.376453891708968,5.638611111111112,1.7788036972652157,197,2.8707127840794797,2.8166666666666664,1.0264000252968375,197
40,5.647002409297052,6.058041666666666,1.5716565384585188,196,2.928633877948674,2.8873188405797103,1.017699160285041,196
41,5.783133219954649,6.0773472222222225,1.6849634495434114,196,2.8173160787380938,2.8395833333333336,1.0512346560678183,196
42,5.679706147772137,5.851722222222223,1.6696268117668664,197,2.7582517988317212,2.779166666666667,1.0418919569418525,197
43,5.953810277777778,6.2599027777777785,1.6642484350663538,200,2.5975399540039836,2.6083333333333334,1.0437025240454527,200
44,5.823634890572391,6.095083333333333,1.537054909153648,132,2.696915209734406,2.69375,0.9161358680293649,132
45,5.35834132996633,5.7045972222222225,1.5902788940313732,132,2.690551956742615,2.6416666666666666,0.9891301455956185,132
46,5.187839856902357,5.338375,1.4516725858331723,132,2.6829003894302623,2.6624999999999996,0.9908982130449819,132
47,5.295619804919423,5.3575277777777774,1.4881977532501434,131,2.7215662723625584,2.6958333333333333,0.9689855473057936,131
48,5.324917521367522,5.480402777777778,1.595827096515364,130,2.6573701580908136,2.625,0.9317529500329342,130
49,5.095233850129199,5.242555555555556,1.7239866489565683,129,2.5369188986469866,2.5500000000000003,0.9157406946239223,129
50,5.514873717948718,5.500805555555555,1.4499937224805262,130,2.642473641128692,2.6354743083003953,0.924781304744358,130
51,5.378626068376068,5.686833333333333,1.6362647747512047,130,2.640495587745588,2.627083333333333,1.020534182008782,130
52,5.317325699745547,5.669583333333334,1.6707928039931457,131,2.5894958928366125,2.6913043478260867,0.970166912862186,131
53,5.277691287878788,5.763263888888889,1.8879571783998657,132,2.5226320028849964,2.5,0.895854616550942,132
54,5.534319654882155,5.873361111111111,1.7073575939420973,132,2.471025717554359,2.572916666666667,0.8983767043553965,132
55,5.779475168350169,6.122541666666667,1.5822763592841147,132,2.555509215857146,2.50625,0.9433987713005145,132
56,5.8701734006734005,6.218166666666667,1.5310794752237804,132,2.574421209545412,2.5846590909090907,0.953203520358403,132
57,6.0192798821548825,6.247736111111111,1.5158430491289834,132,2.4707771424496383,2.408333333333333,0.9061203117177673,132
58,5.973070075757576,6.306930555555555,1.6038167791229905,132,2.443652745513505,2.404166666666667,0.9173570147806837,132
59,5.472221374045802,6.121555555555555,1.9541608923821987,131,2.413639058435431,2.3208333333333333,1.0488837430197355,131
60,5.738195224719101,5.971069444444444,1.7250637909177422,178,2.470298077522561,2.3778186274509805,1.1109510293300542,178
61,5.853409966499163,6.159805555555556,1.6406606453291035,199,2.551796190391067,2.395833333333333,1.1024529823092502,199
62,5.769772446689114,6.04375,1.5787164269139724,198,2.498626815828145,2.3916666666666666,1.042884150347687,198
63,5.796125972222223,6.149861111111111,1.5657202515814292,200,2.3267367698726393,2.29375,1.002774934957118,200
64,5.6558697123519455,6.031111111111112,1.6337552404474578,197,2.337990221694314,2.2208333333333337,1.019919028576312,197
65,5.349624017957351,5.658875,1.5999140177823437,198,2.4149890022098086,2.3604166666666666,0.9285911060132596,198
66,5.1911246510329425,5.371416666666668,1.7957455726437483,199,2.4323826930693744,2.3833333333333333,0.9533227960278223,199
67,5.166818462401796,5.531041666666667,1.7207420575334567,198,2.4968257500828415,2.479166666666667,0.9111806350387615,198
68,5.357602317141263,5.640444444444444,1.6030428906815608,199,2.6956607136545596,2.7,0.9449263723442205,199
69,6.029997194163861,6.406694444444445,1.5775826541081586,198,2.7141495256253245,2.6729166666666666,0.9883444489428282,198
70,6.064968537414966,6.443458333333334,1.58348742297204,196,2.5715041497284323,2.58125,0.9646696350647471,196
71,5.910780080598734,6.391638888888889,1.647096333413339,193,2.512717544666345,2.509523809523809,0.9748002879979331,193
72,5.802886513157894,6.054069444444444,1.643657398219225,152,2.546263253593858,2.3791666666666664,0.9385389318707675,152
73,6.01795170940171,6.425888888888888,1.5679611714149697,130,2.5803636183367638,2.564583333333333,0.9611513076854167,130
