target,metric,baseline,model,model_minus_baseline,improvement_pct
solar_daily_kwh_m2_day,mae,1.3406081196836588,1.4116190306605323,0.07101091097687351,-5.296917863934007
solar_daily_kwh_m2_day,rmse,1.6966875537241015,1.821717156268373,0.12502960254427142,-7.369041062972428
solar_daily_kwh_m2_day,nrmse,0.16476160555367,0.17690295592293262,0.012141350369262616,-7.369041062972435
solar_daily_kwh_m2_day,medae,1.1278848379629627,1.12815487511472,0.00027003715175721865,-0.02394190813353997
solar_daily_kwh_m2_day,smape,27.182302651410666,30.25558080925977,3.073278157849103,-11.306172980491079
solar_daily_kwh_m2_day,r2,-0.11388502689549207,-0.2840990207655094,-0.17021399387001734,
wind_daily_mean_ms,mae,0.873304641745892,0.7215184728470637,-0.15178616889882823,17.380666681832878
wind_daily_mean_ms,rmse,1.1741113295062122,0.9193866601871367,-0.25472466931907556,21.69510360028664
wind_daily_mean_ms,nrmse,0.17641071728807864,0.13813822941042123,-0.03827248787765741,21.69510360028663
wind_daily_mean_ms,medae,0.6503883987160111,0.5976597257279467,-0.052728672988064385,8.107259153478244
wind_daily_mean_ms,smape,38.17993801645272,34.89933123528499,-3.2806067811677266,8.592488494229688
wind_daily_mean_ms,r2,-0.234771579928865,0.24288044452727153,0.4776520244561365,
