day_of_year,hist_solar_irradiation_global_doy_mean,hist_solar_irradiation_global_doy_median,hist_solar_irradiation_global_doy_std,hist_solar_irradiation_global_doy_count,hist_wind_speed_global_doy_mean,hist_wind_speed_global_doy_median,hist_wind_speed_global_doy_std,hist_wind_speed_global_doy_count
1,5.7851938997821355,6.2877777777777775,1.8214031027244972,153,2.7444471405895103,2.8375,1.0757373269362325,153
2,5.908560522442972,6.402083333333334,1.6874224102268722,151,2.7054242334831886,2.6875,0.9906265859440587,151
3,6.0451312636165575,6.369333333333333,1.6272794444229868,153,2.6319360067467445,2.6,1.034072332508708,153
4,5.512729437229437,5.840680555555556,1.7056221460114038,154,2.768580007850547,2.781547619047619,1.1007511722921026,154
5,5.454544299201162,5.627750000000001,1.632654523026667,153,2.798395573469271,2.783333333333333,1.1103914122484202,153
6,5.542315949820789,5.804833333333334,1.7679786171314409,155,2.7843079922259446,2.8000000000000003,1.144586733223182,155
7,5.545103896103896,5.919541666666667,1.676401680467735,154,2.793973647698011,2.8270833333333334,1.0617026665625724,154
8,5.2499624287749285,5.741722222222222,1.8933524796888015,156,2.911354646821399,3.09375,1.1719728927643807,156
9,5.52642670250896,5.747166666666667,1.8526737062395433,155,2.9385172195353646,2.8791666666666664,1.0723261829550177,155
10,5.609087872185912,5.873083333333334,1.5919198245803943,153,3.1075961319237106,3.141666666666667,1.0821998399882522,153
11,5.769996212121212,6.168805555555556,1.7596081029355728,154,2.91185453930644,2.9258333333333333,1.1306039017651626,154
12,5.758423565722585,5.954916666666667,1.512201261928365,153,2.9232447721418873,2.966666666666667,1.0918558696087997,153
13,5.67926272264631,5.711638888888889,1.488157347640821,131,3.0325499807195793,3.158333333333333,1.2023785715231479,131
14,5.760664316239316,6.014888888888889,1.6373018695297679,130,2.92936676394954,2.897916666666667,1.1472643612452396,130
15,5.962519871794871,6.185527777777779,1.555540067041888,130,2.8099948055010766,2.8520833333333333,1.0831521890212734,130
