month,hist_solar_irradiation_global_month_mean,hist_solar_irradiation_global_month_median,hist_solar_irradiation_global_month_std,hist_solar_irradiation_global_month_count,hist_wind_speed_global_month_mean,hist_wind_speed_global_month_median,hist_wind_speed_global_month_std,hist_wind_speed_global_month_count
1,5.650706885791554,5.954805555555556,1.6946774100595505,4807,2.744720159064298,2.7375000000000003,1.0789301299390235,4807
2,5.589723526140156,5.887111111111111,1.661418865987932,4495,2.636077014216679,2.629166666666667,1.0103957175602134,4495
3,5.621248964588942,5.917861111111111,1.6278394978663269,4829,2.477772166251839,2.4250000000000003,0.9561970552944912,4829
4,5.15431018026946,5.437972222222222,1.5792563879892032,4709,2.4542445774709267,2.4208333333333334,0.9464057434341423,4709
5,4.616618097415644,4.742138888888889,1.4890005453270316,4811,2.5536474923654415,2.5791666666666666,1.0218714117041499,4811
6,4.4052825772375375,4.500972222222222,1.4935730978732806,4607,2.7350294815317135,2.783333333333333,1.07664515455138,4607
7,4.449310235444212,4.516361111111111,1.50482123272841,4790,2.934072758033297,3.045833333333333,1.1303274526854776,4790
8,5.109210548581098,5.324972222222223,1.5414570798238063,4859,3.020956882791601,3.125,1.1778711433881084,4859
9,5.6953608685608685,5.984527777777778,1.5559672936685733,4810,3.181857981071667,3.28125,1.1723033481456253,4810
10,5.929297140347453,6.223,1.6045089290175936,5123,3.1506037327549783,3.1791666666666667,1.154130719319472,5123
11,6.0796435324046305,6.428277777777778,1.6344592103714166,5001,3.049772389222625,3.039130434782609,1.0431895269143443,5001
12,5.776913884063566,6.130416666666667,1.6950244177608509,5181,2.8707221295996477,2.8541666666666665,1.0370482721538052,5181
